AutoID	OwnerID	VIN	Make	Model	Year	DriveTrain	EngineType	ExteriorColor	InteriorColor	Transmission
487	543	BLIPK8NMTMTYX1ZIY	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
488	488	ZN1TUV6WAHXLO3U33	Contoso Motors	Convertible 2DR	2007	RWD	4 Cylinder	Blue	Old Lace	Automatic
489	747	3EJA3KMY2WXA0FKFJ	Contoso Motors	Coupe	2016	FWD	4 Cylinder	Silver	Ivory	Semi-automatic
490	490	4HCWC5S5IJXMOG5TH	Contoso Motors	Hybrid	2013	FWD	Hybrid	Deep Blue	Brown	Semi-automatic
491	440	XQ3MOFK9LO7XY8C59	Contoso Motors	Truck	2013	FWD	6 Cylinder	Silver	Black	Automatic
492	236	S53V9GQM15XVDDJF1	Contoso Motors	Hatchback	2007	FWD	4 Cylinder	Blue	Gray	Automatic
493	926	N4O3YGCZCPG7EQ18J	Contoso Motors	Sedan	2005	AWD	4 Cylinder	Deep Blue	Brown	Automatic
494	995	6OEDX46M4TTLQ7OHR	Contoso Motors	Sedan	2013	AWD	4 Cylinder	Silver	Ivory	Automatic
495	43	AZAI19YW9US5M6VTM	Contoso Motors	Sedan	2016	FWD	4 Cylinder	Midnight Black	Silverstone	Automatic
496	242	WGZ3BHPFQQBAPE9V4	Contoso Motors	Wagon	2013	FWD	4 Cylinder	Blue	Brown	Automatic
497	499	VI45NWQ2GTHYL4DZB	Contoso Motors	Truck	2006	RWD	6 Cylinder	Silver	Black	Automatic
498	553	O5R1PH70RV82A3E4N	Contoso Motors	Truck	2004	FWD	6 Cylinder	Silver	Black	Automatic
499	795	ORZSALKL8GVZ0D7BS	Contoso Motors	Coupe	2013	AWD	4 Cylinder	Midnight Black	Silverstone	Semi-automatic
500	500	GTEK9BAEZRDOEYOZ2	Contoso Motors	Hybrid	2013	FWD	Hybrid	Blue	Old Lace	Semi-automatic
501	187	J65M7JNC4QDZHWQ1K	Contoso Motors	Crossover	2016	AWD	Hybrid	Electric Blue	Black	Automatic
502	558	8RHCYCA9UBHU3FHSQ	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
503	503	KGPM36VK26AELEZ41	Contoso Motors	Convertible 2DR	2004	FWD	6 Cylinder	Midnight Black	Silverstone	Automatic
504	199	JXGEO31C6UNAC0KIH	Contoso Motors	SUV	2007	FWD	6 Cylinder	Electric Blue	Black	Automatic
505	235	BPNVBNVOYNLAQFNXX	Contoso Motors	Crossover	2013	FWD	Hybrid	Electric Blue	Black	Automatic
506	506	MP80QE3HPJPGAI4IG	Contoso Motors	Minivan	2016	FWD	6 Cylinder	Blazing Gray	Nutmeg	Automatic
507	247	CD9FXB2ILCO170YPG	Contoso Motors	SUV	2006	FWD	4 Cylinder	Electric Blue	Black	Automatic
508	508	DYC9JXQ7Y35T8YVS2	Contoso Motors	Minivan	2004	FWD	6 Cylinder	Thunder Gray	Gray	Automatic
509	281	TSTZUK9J4D46YRCCI	Contoso Motors	SUV	2005	RWD	8 Cylinder	Electric Blue	Black	Automatic
510	510	WQ44S93J3N27SVIRX	Contoso Motors	Minivan	2007	FWD	6 Cylinder	Volcanic Orange	White	Automatic
511	511	ZTR0Z9X2250HA1PI0	Contoso Motors	Minivan	2013	FWD	6 Cylinder	Chili Red	Black	Automatic
512	512	DK2YL7NWWJDMJ9RYK	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Blue	Old Lace	Automatic
513	513	G3O2BOTP2IVSZ2W48	Contoso Motors	Minivan	2014	FWD	6 Cylinder	Silver	Ivory	Automatic
514	514	RR55YZ6DG2EZ72KKY	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Deep Blue	Brown	Automatic
515	45	FJJSIW0EIIGUERE2M	Contoso Motors	Sedan	2014	FWD	4 Cylinder	Racing Green	Beige	Automatic
516	251	LIO7YTOE8DQT6K7O9	Contoso Motors	Hatchback	2004	AWD	4 Cylinder	Blue	Black	Automatic
517	46	S9JTJUFCLUX043CJG	Contoso Motors	Sedan	2015	FWD	4 Cylinder	Blazing Gray	Nutmeg	Automatic
518	69	EI6CW0CKYK741OUHO	Contoso Motors	Sedan	2004	AWD	4 Cylinder	Racing Green	Beige	Automatic
519	305	8BZS7FORHI8Y4FIYH	Contoso Motors	SUV	2011	FWD	4 Cylinder	Electric Blue	Black	Automatic
520	554	1C2RW5NTEBI2U8EY7	Contoso Motors	Truck	2010	FWD	6 Cylinder	Silver	Black	Automatic
521	576	ULA46Z5XFF5T0JP3C	Contoso Motors	Truck	2004	AWD	6 Cylinder	Silver	Black	Automatic
522	260	0WNSOLYN5IIV8LBKT	Contoso Motors	Wagon	2011	FWD	4 Cylinder	Thunder Gray	Gray	Automatic
523	299	ZHP04SZYFDUZ1JXJI	Contoso Motors	Hatchback	2011	FWD	4 Cylinder	Chili Red	Black	Automatic
524	524	XZXQPPCGWGPN8958F	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Blue	Old Lace	Automatic
525	525	CMJT8KNLDLWSSYAY8	Contoso Motors	Minivan	2004	FWD	6 Cylinder	Silver	Ivory	Automatic
526	329	TRFD6LW1SWWCNNFF5	Contoso Motors	SUV	2004	RWD	6 Cylinder	Electric Blue	Black	Automatic
527	356	RDM6J5EKM0XAOFECS	Contoso Motors	Wagon	2004	AWD	4 Cylinder	Volcanic Orange	White	Automatic
528	672	PX06U5IK5P7JBZWMI	Contoso Motors	Truck	2016	FWD	6 Cylinder	Silver	Black	Automatic
529	469	LGFZNOVA6891NIQ04	Contoso Motors	SUV	2004	FWD	6 Cylinder	Electric Blue	Red	Automatic
530	70	SY6BM4551V77GBW56	Contoso Motors	Sedan	2010	AWD	4 Cylinder	Blazing Gray	Nutmeg	Automatic
531	360	OH5PU71JGFC98YNPZ	Contoso Motors	Wagon	2011	AWD	4 Cylinder	Deep Blue	Brown	Automatic
532	532	OW88VTE8YMYDMZDIC	Contoso Motors	Minivan	2007	FWD	6 Cylinder	Thunder Gray	Gray	Automatic
533	21	M4TV6IEALD5QDS3IR	Contoso Motors	SUV	2007	AWD	6 Cylinder	Midnight Black	Black	Automatic
534	69	DC4UBCJ3K37YKLMLM	Contoso Motors	SUV	2005	FWD	10 Cylinder	Midnight Black	Black	Automatic
535	591	CXQMZ796VHXZCIZDY	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
536	536	G1IJPTPCGG4VVM0O3	Contoso Motors	Convertible 2DR	2016	FWD	Electric	Blue	Old Lace	Automatic
537	929	0HMF39RGO8WJ1OS8R	Contoso Motors	Coupe	2005	FWD	4 Cylinder	Electric Blue	Red	Semi-automatic
538	538	XV1W2KOSDNKHQKHVL	Contoso Motors	Hybrid	2013	FWD	Hybrid	Deep Blue	Brown	Semi-automatic
539	673	HAFETMKFJVQ4FBOLE	Contoso Motors	Truck	2011	FWD	6 Cylinder	Silver	Black	Automatic
540	380	IY587XB4HJX6N04PA	Contoso Motors	Hatchback	2016	FWD	4 Cylinder	Volcanic Orange	White	Automatic
541	93	CI3IA2MUNCLR5GJM0	Contoso Motors	Sedan	2005	FWD	4 Cylinder	Racing Green	Beige	Automatic
542	94	HW3SMAH36QFY1MYXR	Contoso Motors	Sedan	2007	FWD	4 Cylinder	Blazing Gray	Nutmeg	Automatic
543	117	V4UM6VQFRG2USOV1R	Contoso Motors	Sedan	2011	FWD	4 Cylinder	Racing Green	Beige	Automatic
544	443	561JUQ622CUR0E8JZ	Contoso Motors	Hatchback	2013	FWD	4 Cylinder	Midnight Black	Silverstone	Automatic
545	793	G1STEWZKBIT5OYWUK	Contoso Motors	Truck	2014	AWD	6 Cylinder	Silver	Black	Automatic
546	794	LMH9EM8N6AA7VQO3A	Contoso Motors	Truck	2015	AWD	6 Cylinder	Silver	Black	Automatic
547	169	I0ZE8JP32J8ZWSBLM	Contoso Motors	Coupe	2004	AWD	4 Cylinder	Silver	Ivory	Semi-automatic
548	548	SC8RB10F5JF4LX5CV	Contoso Motors	Hybrid	2013	FWD	Hybrid	Blue	Old Lace	Semi-automatic
549	513	JBOIN5XKK8K8X9HMA	Contoso Motors	SUV	2011	FWD	10 Cylinder	Midnight Black	Black	Automatic
550	654	4K11P2TCO0ZJ0B0H6	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
551	551	195W304UL8HAP9Q4G	Contoso Motors	Convertible 2DR	2011	FWD	6 Cylinder	Midnight Black	Silverstone	Automatic
552	537	GAQ3SA5S84P25JPM3	Contoso Motors	SUV	2004	AWD	6 Cylinder	Midnight Black	Black	Automatic
553	561	HGDCO2CD1H90AHYZH	Contoso Motors	SUV	2007	FWD	6 Cylinder	Midnight Black	Black	Automatic
554	554	9ZMA2FR6LFGXAB4YJ	Contoso Motors	Minivan	2007	FWD	6 Cylinder	Blazing Gray	Nutmeg	Automatic
555	585	6BGDZUVC05OGK0U2N	Contoso Motors	SUV	2011	FWD	6 Cylinder	Midnight Black	Black	Automatic
556	556	7RJT1IM5441CS5P55	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Thunder Gray	Gray	Automatic
557	701	NG1UDZWISW1I2HJXM	Contoso Motors	SUV	2014	FWD	8 Cylinder	Midnight Black	Black	Automatic
558	558	DB7GXQUVTGDWLEWJD	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Volcanic Orange	White	Automatic
559	559	RPA91HDWA2F03K906	Contoso Motors	Minivan	2016	FWD	6 Cylinder	Chili Red	Black	Automatic
560	560	NBUL247OFXI8HQ578	Contoso Motors	Minivan	2013	FWD	6 Cylinder	Blue	Old Lace	Automatic
561	561	TOHAZOWEUU9PY3EI8	Contoso Motors	Minivan	2014	FWD	6 Cylinder	Silver	Ivory	Automatic
562	562	LOCNQO28JR378RMGF	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Deep Blue	Brown	Automatic
563	118	CPTIEAH6GPLGIO4G3	Contoso Motors	Sedan	2009	FWD	4 Cylinder	Blazing Gray	Nutmeg	Automatic
564	552	76DLNGP1LW3ZH64OT	Contoso Motors	Wagon	2015	FWD	4 Cylinder	Blazing Gray	Nutmeg	Automatic
565	119	XE7I7TUY2WSJ8ZXJE	Contoso Motors	Sedan	2004	FWD	4 Cylinder	Electric Blue	Red	Automatic
566	237	JFX3YQSEC0IJ1F5CY	Contoso Motors	Sedan	2004	FWD	4 Cylinder	Pepper White	Dark Gray	Automatic
567	749	2LN5YNG2XJ1ERFKX3	Contoso Motors	SUV	2014	FWD	Electric	Midnight Black	Black	Automatic
568	816	CCGL4SM7UU0P4ZBRV	Contoso Motors	Truck	2015	FWD	6 Cylinder	Silver	Black	Automatic
569	817	OTLM4XY3T2PI9WVBF	Contoso Motors	Truck	2004	FWD	6 Cylinder	Silver	Black	Automatic
570	627	NECJ2TQWLBVFCH5DB	Contoso Motors	Hatchback	2007	AWD	4 Cylinder	Chili Red	Black	Automatic
571	674	NF981XF6W88HYKE9Y	Contoso Motors	Wagon	2005	FWD	4 Cylinder	Volcanic Orange	White	Automatic
572	572	HFHGW4VCB0VIR1XS1	Contoso Motors	Minivan	2016	FWD	6 Cylinder	Deep Blue	Brown	Automatic
573	573	WB2GUS8R6BGDC2G7D	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Midnight Black	Silverstone	Automatic
574	901	6ZAH06X3W9HUWYLHS	Contoso Motors	Crossover	2011	AWD	6 Cylinder	Midnight Black	Black	Automatic
575	675	GIMP343NPI0HICJ9X	Contoso Motors	Hatchback	2006	FWD	4 Cylinder	Chili Red	Black	Automatic
576	872	TXPBHK1G57K059R07	Contoso Motors	Truck	2004	FWD	6 Cylinder	Silver	Black	Automatic
577	925	MD2QMDXNINBM2GC4M	Contoso Motors	Crossover	2014	FWD	Hybrid	Midnight Black	Black	Automatic
578	238	VPP5L9XRIZ99D9VPY	Contoso Motors	Sedan	2005	FWD	4 Cylinder	Volcanic Orange	White	Automatic
579	696	D4QKU00WCL3EMBJ69	Contoso Motors	Wagon	2004	FWD	4 Cylinder	Volcanic Orange	White	Automatic
580	580	VIJNKM20V255IWKUO	Contoso Motors	Minivan	2016	FWD	6 Cylinder	Volcanic Orange	White	Automatic
581	949	VTVIIMP7VVMBKS54N	Contoso Motors	Crossover	2004	FWD	10 Cylinder	Midnight Black	Black	Automatic
582	973	6ZCFVVRY55MTNQDK9	Contoso Motors	Crossover	2005	AWD	6 Cylinder	Midnight Black	Black	Automatic
583	687	D7ECN6CN0GDMX3DXW	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
584	584	IZ744LDZ0LJQ06ERN	Contoso Motors	Convertible 2DR	2015	RWD	Electric	Deep Blue	Brown	Automatic
585	227	KFJUVG6XG3K6JE4A1	Contoso Motors	Coupe	2013	AWD	4 Cylinder	Chili Red	Black	Semi-automatic
586	586	X07T6E30I713UCFRP	Contoso Motors	Hybrid	2013	FWD	Hybrid	White Silver	Smoke White	Semi-automatic
587	883	HLH85IDCRB0O5J6K6	Contoso Motors	Truck	2013	AWD	6 Cylinder	Silver	Black	Automatic
588	792	1IU4JMQ0BXEZNOMFN	Contoso Motors	Wagon	2013	AWD	4 Cylinder	Blue	Old Lace	Automatic
589	298	ARTXP87VTDTC6MS18	Contoso Motors	Sedan	2016	FWD	4 Cylinder	Volcanic Orange	White	Automatic
590	311	Y7RDS9FZMKIVZE3MJ	Contoso Motors	Sedan	2013	FWD	4 Cylinder	Chili Red	Black	Automatic
591	357	CJ7IV4AJ4BC6PUKQQ	Contoso Motors	Sedan	2005	AWD	4 Cylinder	Chili Red	Black	Automatic
592	818	E6BS9CXTX2KQ5STIM	Contoso Motors	Wagon	2010	FWD	4 Cylinder	Deep Blue	Brown	Automatic
593	931	X61ZJ042L9QHMX91E	Contoso Motors	Truck	2016	AWD	6 Cylinder	Silver	Black	Automatic
594	112	GTRRNCG4JCICBP5D8	Contoso Motors	Truck	2016	AWD	6 Cylinder	Silver	Black	Automatic
595	9	W9NSZ423XZHAONYXB	Contoso Motors	Coupe	2011	FWD	6 Cylinder	Midnight Black	Silverstone	Semi-automatic
596	596	RYMLI5IZQWJH7OF0A	Contoso Motors	Hybrid	2013	FWD	Hybrid	Deep Blue	Brown	Semi-automatic
597	995	CRM00QGMSNBX7EC9U	Contoso Motors	Crossover	2007	FWD	6 Cylinder	Midnight Black	Black	Automatic
598	735	5BL4VFIIQZ59JLFL2	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
599	599	A6EWRI0QEJMUY6LFQ	Contoso Motors	Convertible 2DR	2013	AWD	Hybrid	Racing Green	Beige	Automatic
600	7	O0SP48ZJC7C9D37GX	Contoso Motors	SUV	2013	AWD	6 Cylinder	Midnight Black	Black	Automatic
601	137	LLIL1MVZTJ8E92EKG	Contoso Motors	SUV	2005	RWD	8 Cylinder	Midnight Black	Black	Automatic
602	602	HVETJI1MVFEJPLUEJ	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Thunder Gray	Gray	Automatic
603	161	YSXL57ME3XP7WPVM6	Contoso Motors	SUV	2004	FWD	Hybrid	Midnight Black	Black	Automatic
604	604	Z37090N06MS0J0H8X	Contoso Motors	Minivan	2013	FWD	6 Cylinder	Volcanic Orange	White	Automatic
605	277	1RWB65DQZQ0ZST2C0	Contoso Motors	SUV	2014	AWD	6 Cylinder	Midnight Black	Black	Automatic
606	606	SA23YNMGPBVLL59BB	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Blue	Old Lace	Automatic
607	607	PB2GAMT1UBQC0N2BW	Contoso Motors	Minivan	2013	FWD	6 Cylinder	Silver	Ivory	Automatic
608	608	Z42D49ZK8SZE9JA9Z	Contoso Motors	Minivan	2004	FWD	6 Cylinder	Deep Blue	Brown	Automatic
609	609	0I2L5C2P0RY3P97FR	Contoso Motors	Minivan	2005	FWD	6 Cylinder	Midnight Black	Silverstone	Automatic
610	610	SNEXT2XFUNCI9H0F9	Contoso Motors	Minivan	2007	FWD	6 Cylinder	White Silver	Smoke White	Automatic
611	358	JA4C5LB3SVH9VGMPZ	Contoso Motors	Sedan	2007	AWD	4 Cylinder	Blue	Old Lace	Automatic
612	819	PA3JJB7JEPN2HG0HX	Contoso Motors	Hatchback	2007	FWD	4 Cylinder	Midnight Black	Silverstone	Automatic
613	359	2Y2CFDMXBAQNKC02X	Contoso Motors	Sedan	2016	AWD	4 Cylinder	Silver	Ivory	Automatic
614	442	VC7CU97RZ8Y7VGYQX	Contoso Motors	Sedan	2015	FWD	4 Cylinder	Deep Blue	Brown	Automatic
615	325	N01QK9B7DLNKTHSAV	Contoso Motors	SUV	2005	FWD	10 Cylinder	Midnight Black	Black	Automatic
616	123	GGNBNTBOU7FBFNYSC	Contoso Motors	Truck	2014	FWD	6 Cylinder	Silver	Black	Automatic
617	171	ZM15LTFB6YBQULUT1	Contoso Motors	Truck	2007	FWD	6 Cylinder	Silver	Black	Automatic
618	871	A8XUKOW7TXJ8K37WH	Contoso Motors	Hatchback	2011	FWD	4 Cylinder	Electric Blue	Red	Automatic
619	875	XXT5LBJOC2Z7EHTJ8	Contoso Motors	Hatchback	2013	FWD	4 Cylinder	Chili Red	Black	Automatic
620	620	HTSTI9TYT7AVCZAMD	Contoso Motors	Minivan	2007	FWD	6 Cylinder	Deep Blue	Brown	Automatic
621	621	N9V6H5GEVWXEJIEFD	Contoso Motors	Minivan	2004	FWD	6 Cylinder	Midnight Black	Silverstone	Automatic
622	453	6F8VEEXVK56DXHTEC	Contoso Motors	Crossover	2014	FWD	8 Cylinder	Midnight Black	Black	Automatic
623	932	A3V048GGYTTKGD4JD	Contoso Motors	Wagon	2011	RWD	4 Cylinder	Volcanic Orange	White	Automatic
624	225	9QTETX1DP7VDYSXWG	Contoso Motors	Truck	2005	AWD	6 Cylinder	Silver	Black	Automatic
625	477	KT3REQOBYWUUX488A	Contoso Motors	Crossover	2004	AWD	Hybrid	Midnight Black	Silverstone	Automatic
626	475	C5RO30W6BRFFOFZI7	Contoso Motors	Sedan	2011	FWD	4 Cylinder	Chili Red	Black	Automatic
627	52	26BP3DNBT2Z6AYHNI	Contoso Motors	Hatchback	2011	FWD	4 Cylinder	Blue	Old Lace	Automatic
628	628	PZQAYREQWH527DV50	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Volcanic Orange	White	Automatic
629	27	D1ZVY26UV2BFGHZNO	Contoso Motors	Crossover	2013	AWD	12 Cylinder	Pepper White	Black	Manual
630	39	40AUQE77I2BZ07K5O	Contoso Motors	SUV	2016	AWD	6 Cylinder	Pepper White	Black	Automatic
631	798	YVFO13CBNKZXJHE5S	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
632	632	NNLRTNV7UVZF1YJ5U	Contoso Motors	Convertible 2DR	2016	RWD	6 Cylinder	Deep Blue	Brown	Automatic
633	19	DF6OX2WSRA6511BVG	Contoso Motors	Coupe	2004	RWD	6 Cylinder	Silver	Ivory	Semi-automatic
634	634	MU72U93BZ8CCAWBUE	Contoso Motors	Hybrid	2013	FWD	Hybrid	White Silver	Smoke White	Semi-automatic
635	226	5N97WWETF2TXG2B0D	Contoso Motors	Truck	2007	AWD	6 Cylinder	Silver	Black	Automatic
636	63	UN22JLHW8NGF3LIFS	Contoso Motors	Hatchback	2016	AWD	4 Cylinder	Chili Red	Black	Automatic
637	874	PMF9MF4NEMNYDMOV3	Contoso Motors	Sedan	2007	FWD	4 Cylinder	Volcanic Orange	White	Automatic
638	933	MSZOZWSKLED9OW4OB	Contoso Motors	Sedan	2004	AWD	4 Cylinder	Chili Red	Black	Automatic
639	934	J5G7QC2YSFEF4S6SR	Contoso Motors	Sedan	2005	AWD	4 Cylinder	Blue	Old Lace	Automatic
640	111	KIT8NT6ZT6RY0P84I	Contoso Motors	Hatchback	2007	FWD	4 Cylinder	Silver	Ivory	Automatic
641	248	XL2Y5G1TIV5KTVGXJ	Contoso Motors	Truck	2007	FWD	6 Cylinder	Silver	Black	Automatic
642	249	HCHAJQOQ1ZN19VN7W	Contoso Motors	Truck	2004	FWD	6 Cylinder	Silver	Black	Automatic
643	57	6UOCMQWHFIWZTN0XV	Contoso Motors	Coupe	2004	AWD	6 Cylinder	Midnight Black	Silverstone	Semi-automatic
644	644	FZE5OSHN5M9XAXL2N	Contoso Motors	Hybrid	2013	FWD	Hybrid	Deep Blue	Brown	Semi-automatic
645	75	WOQY2N691M7VUPN0F	Contoso Motors	Crossover	2016	AWD	Hybrid	Pepper White	Black	Automatic
646	942	IOKBCVTFITW7KV8NV	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
647	647	9WSAILJZ8SW8CF6H3	Contoso Motors	Convertible 2DR	2016	FWD	Electric	Racing Green	Beige	Automatic
648	87	4GOJ345ZOYDA33TCB	Contoso Motors	SUV	2007	FWD	12 Cylinder	Pepper White	Black	Automatic
649	97	C1OVHZ8ILU8TGGPD8	Contoso Motors	SUV	2011	AWD	Electric	Pepper White	Black	Automatic
650	650	KGX6WIWZK9LANQ1LR	Contoso Motors	Minivan	2015	FWD	6 Cylinder	Thunder Gray	Gray	Automatic
651	121	BR6LMIBHCBI8ABFVD	Contoso Motors	SUV	2014	FWD	6 Cylinder	Pepper White	Black	Automatic
652	652	J5751V8CYCTP8OP4B	Contoso Motors	Minivan	2004	FWD	6 Cylinder	Volcanic Orange	White	Automatic
653	145	3BP7P0NENUH9RI3M6	Contoso Motors	SUV	2004	FWD	8 Cylinder	Pepper White	Black	Automatic
654	654	64QRQEWGY5ZQINQAZ	Contoso Motors	Minivan	2007	FWD	6 Cylinder	Blue	Old Lace	Automatic
655	655	9C9MXU2K85SKH52B8	Contoso Motors	Minivan	2016	FWD	6 Cylinder	Silver	Ivory	Automatic
656	656	G5J8FO00MKO0YHNNH	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Deep Blue	Brown	Automatic
657	657	MWNDEI881FUSUE07W	Contoso Motors	Minivan	2004	FWD	6 Cylinder	Midnight Black	Silverstone	Automatic
658	658	N8VU34JIFIOLL5QTV	Contoso Motors	Minivan	2005	FWD	6 Cylinder	White Silver	Smoke White	Automatic
659	3	EMY7WDRZPPS5PDTYV	Contoso Motors	Sedan	2011	AWD	4 Cylinder	Chili Red	Black	Automatic
660	172	YQB21B238TXKCMKAD	Contoso Motors	Wagon	2016	AWD	4 Cylinder	White Silver	Smoke White	Automatic
661	51	W8XLBATF96LUDDCE4	Contoso Motors	Sedan	2013	FWD	4 Cylinder	Chili Red	Black	Automatic
662	53	454ILQUYBQPTZ267L	Contoso Motors	Sedan	2014	FWD	4 Cylinder	Silver	Ivory	Automatic
663	169	5HTLJ84O2J32MFFYS	Contoso Motors	SUV	2015	AWD	4 Cylinder	Pepper White	Black	Automatic
664	304	BUHA9ZOJCJRVS3EK6	Contoso Motors	Truck	2016	FWD	6 Cylinder	Silver	Black	Automatic
665	369	UILM8LD1FDSPINLBZ	Contoso Motors	Truck	2005	AWD	6 Cylinder	Silver	Black	Automatic
666	196	23YK520GRELCLJVX3	Contoso Motors	Hatchback	2011	FWD	4 Cylinder	White Silver	Smoke White	Automatic
667	224	SKFXJJNBII3AF3T78	Contoso Motors	Wagon	2004	AWD	4 Cylinder	Thunder Gray	Gray	Automatic
668	668	CXGSM7RX2NWJ6ZTKG	Contoso Motors	Minivan	2016	FWD	6 Cylinder	White Silver	Smoke White	Automatic
669	669	4GGHJBM0ZFJ7IGZQH	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Racing Green	Beige	Automatic
670	613	C4SOMWYENYMFLWAWH	Contoso Motors	Crossover	2014	AWD	4 Cylinder	Pepper White	Black	Automatic
671	250	15G5IEC3I0K52JC11	Contoso Motors	Wagon	2005	FWD	4 Cylinder	Volcanic Orange	White	Automatic
672	370	26QDC3UYGMBBBP2RZ	Contoso Motors	Truck	2007	AWD	6 Cylinder	Silver	Black	Automatic
673	637	SRRECKRR4UUB0VZWV	Contoso Motors	Crossover	2011	FWD	6 Cylinder	Pepper White	Black	Automatic
674	54	SRPVCRT3UXBZSNTY5	Contoso Motors	Sedan	2015	FWD	4 Cylinder	Deep Blue	Brown	Automatic
675	251	4I8OM07H8BEPD8VY8	Contoso Motors	Hatchback	2012	FWD	4 Cylinder	Chili Red	Black	Automatic
676	676	ORSUL9LZY92OIIR6L	Contoso Motors	Minivan	2016	FWD	6 Cylinder	Blue	Old Lace	Automatic
677	661	F6JFHBLMR0NX8I87T	Contoso Motors	Crossover	2014	FWD	Electric	Pepper White	Black	Automatic
678	685	T15T0WOSO20RRZH1B	Contoso Motors	Crossover	2004	AWD	6 Cylinder	Pepper White	Black	Automatic
679	23	IOE6XD5VDQCY6VTBH	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
680	680	PWKDX1KUF46KM4J5X	Contoso Motors	Convertible 2DR	2005	FWD	Electric	White Silver	Smoke White	Automatic
681	67	LDXV3HYEO1DKUIFKX	Contoso Motors	Coupe	2011	FWD	6 Cylinder	Silver	Ivory	Semi-automatic
682	682	165K804CU71Z1ERBS	Contoso Motors	Hybrid	2013	FWD	Hybrid	Blazing Gray	Nutmeg	Semi-automatic
683	448	GGISA6OZA4D2QNIZ9	Contoso Motors	Truck	2011	FWD	6 Cylinder	Silver	Black	Automatic
684	259	MR3ZDP1C9ODHT8M76	Contoso Motors	Hatchback	2007	AWD	4 Cylinder	Pepper White	Dark Gray	Automatic
685	114	DWT22RBR4EY569RRX	Contoso Motors	Sedan	2005	AWD	4 Cylinder	White Silver	Smoke White	Automatic
686	173	12K032PRJPCSBHOLV	Contoso Motors	Sedan	2011	RWD	4 Cylinder	Racing Green	Beige	Automatic
687	174	RBS0Y6TWVF8EQFVTU	Contoso Motors	Sedan	2009	FWD	4 Cylinder	Blazing Gray	Nutmeg	Automatic
688	268	RFO2ETT02NZYR12RM	Contoso Motors	Wagon	2004	FWD	4 Cylinder	Blazing Gray	Dark Gray	Automatic
689	488	BA8QX6RD89EZ3TQEJ	Contoso Motors	Truck	2004	FWD	6 Cylinder	Silver	Black	Manual
690	489	8M98GRB4GIWNVWKF4	Contoso Motors	Truck	2005	FWD	6 Cylinder	Silver	Black	Manual
691	115	LXHN99S7W9CA1QNI1	Contoso Motors	Coupe	2013	RWD	6 Cylinder	Midnight Black	Silverstone	Semi-automatic
692	692	DJ5NC85UCWYPOZRWE	Contoso Motors	Hybrid	2013	FWD	Hybrid	White Silver	Smoke White	Semi-automatic
693	707	EC5AH3OWV2DLLIOMH	Contoso Motors	Crossover	2013	FWD	Electric	Pepper White	Black	Automatic
694	86	ZWS5XCAHJ7L40MF32	Contoso Motors	Commercial	2012	AWD	8 Cylinder	Gray	Dark Gray	Automatic
695	695	SL0PKLM3YD24Y2VQL	Contoso Motors	Convertible 2DR	2013	FWD	6 Cylinder	Electric Blue	Red	Automatic
696	719	04G2AAZES95JFZ9KS	Contoso Motors	SUV	2006	AWD	Hybrid	Pepper White	Black	Automatic
697	755	Y79QZPA090W8TFNU4	Contoso Motors	Crossover	2016	AWD	3 Cylinder	Pepper White	Black	Automatic
698	698	SYZNGBRKG9Y3JBTTD	Contoso Motors	Minivan	2007	FWD	6 Cylinder	Volcanic Orange	White	Automatic
699	767	TL2CUWMHOQMS2US03	Contoso Motors	SUV	2012	FWD	Electric	Pepper White	Black	Automatic
700	700	SGHRPNB79FAXMCZWQ	Contoso Motors	Minivan	2011	FWD	6 Cylinder	Blue	Old Lace	Automatic
701	801	NHB1NL2QVAZED0713	Contoso Motors	SUV	2004	FWD	6 Cylinder	Pepper White	Black	Automatic
702	702	2TT5DNNIHDBXIOWBO	Contoso Motors	Minivan	2005	FWD	6 Cylinder	Deep Blue	Brown	Automatic
